strasse
Eberbacher Str. 24
Eberbacher Str. 18
Eberbacher Str. 30/Schlangenbader Str. 80
Landauer Str. 2
Landauer Str. 9
Geisenheimer Str. 56
Rüdesheimer Str. 8
Bahnhofstr. 45 A
Rüdesheimer Platz 1
Rüdesheimer Platz 1-3/Ahrweiler Str. 3
Oeynhauser Str. 4
Breite Str. 51/Zoppoter Str.
Breite Str. 49/50
Breite Str. 46
Breite Str. 48
Breite Str. 34
Breite Str. 33
Breite Str. 33-36
Fehlerstr. 1/Südwestkorso
Zoppoter Str. 24
Zoppoter Str. 24 a
Zoppoter Str. 26
Sylter Str. 12/Zoppoter Str.
Borkumer Str. 33
Helgolandstr. 3/4
Möckernstr. 131-145, gegenüber Tempodrom
Stresemannstr. 34
Stresemannstr. 66, ehemals Caritasgebäude
Wiesbadener Str. 51/Sodener Str.
Mecklenburgische Str. 57, Gehag-Gebäude
Dievenowstr. 15/Heiligendammer Str. 37
Eberbacher Str. 20
Binger Str. 20/Eberbacher Str.
Sodener Str. 15-17
Norderneyer Str. 15/Borkumer Str.
Beverstedter Weg 4
Beverstedter Weg 6-8
Spessartstr. 13
Nikolsburger Str. 8-9
Nikolsburger Str. 11/Hohenzollerndamm
Trebbiner Str. 9, Technikmuseum
Großbeerenstr. 171
Dillenburger Str. 58-58 L
Aßmannshauser Str. 13/Rüdesheimer Str.
Geisenheimer Str. 57
Wiesbadener Str. 24/Ahrweilerstr. 5
Wiesbadener Str. 76
Südwestkorso 19
Stubenrauchstr. 63/Schwalbacher Str.
Stubenrauchstr. 11
Stubenrauchstr. 10
Von-Laue-Str. 3
Rudeloffweg 4/Unter den Eichen
Rudeloffweg 8
Rudeloffweg 10
Wiesbadener Str. 71
Bleibtreustr. 49, Restaurant 12 Apostel
Schlangenbader Str. 33
Schlangenbader Str. 82
Binger Str. 81
Homburger Str. 45/Binger Str.
Homburger Str. 52
Spessartstr. 10 b
Cunostr. 107
Cunostr. 108
Cunostr. 7-8
Friedrichshaller Str. 7
Friedrichshaller Str. 7 a
Friedrichshaller Str. 6-8/Cunostr. 7-8
Waitzstr. 15
Kurfürstendamm 72/Waitzstr.
Sybelstr. 56/Lewishamstr.
Sybelstr. 17/18 / Dahlmannstr. 27
Südwestkorso 63
Südwestkorso 5/Taunusstr.
Eberbacher Str. 3/Rüdesh. Str. 8-10/Wiesb. Str. 32-33
Rüdesheimer Str. 8-10/Eberbacher Str. 3/Wiesbadener Str. 33
Silbersteinstr. 23
Torstr. 34, durch Sanierung Standortverlust
Landsberger Allee 8
Deidesheimer Str. 9
Deidesheimer Str. 10
Laubacher Str. 39
Laubacher Str. 38/Deidesheimer Str.
Schlangenbader Str. 85
Schlangenbader Str. 86
Spessartstr. 4
Binger Str. 18
Norderneyer Str. 12
Auguste-Viktoria-Str. 62/Kissinger Str.
Rudolf-Mosse-Str./Mecklenburgische Str. 57, Gehag-Gebäude
Wiesbadener Str. 31/Rüdesheimer Str. 13
Heidelberger Platz 3/Aßmannshauser Str.
Akazienstr. 24
Belziger Str. 13/15, Hofseite
Stubenrauchstr. 20
Wiesbadener Str. 7
Stubenrauchstr. 58
Stubenrauchstr. 57
Waltroper Platz 6 b
Stubenrauchstr. 60
Alvenslebenstr. 12-12 a/Kulmer Str.
Mansteinstr. 3/4
Hohensteiner Str. 3
Wiesbadener Str. 57
Alvenslebenstr. 25
Winterfeldtstr. 7
Offenbacher Str. 17
Wiesbadener Str. 58 a
Eisenzahnstr. 63
Paulsborner Str. 7
Homburger Str. 4
Laubacher Str. 44
Wilhelmshöher Str. 15
Wilhelmshöher Str. 14
Trautenaustr. 5, Volkshochschulgebäude
Brandenburgische Str. 16/Konstanzer Str. 15
Wittelsbacher Str. 14/Konstanzer Str. 57
Bernburger Str. 35
Bernburger Str. 22, 22 a, 23
Dessauer Str. 11
Dessauer Str. 12
Dessauer Str. 14
Rüdesheimer Platz 7
Rüdesheimer Platz 8
Rüdesheimer Platz 10
Binger Str. 69/Eberbacher Str.
Köthener Str. 44
Mecklenburgische Str. 91
Aachener Str. 40
Zimmermannstr. 5
Ahornstr. 27
Ahornstr. 26
Berliner Str. 45 a
Mannheimer Str. 33/34
Schorlemerallee 1
Homburger Str. 8 i
Homburger Str. 50
Taunusstr. 10
Schlangenbader Str. 25/Wiesbadener Str.
Schlangenbader Str. 80
Rüdesheimer Str. 10 a
Schulzestr. 2
Homburger Str. 39-39 a/Binger Str. 72
Akazienstr. 25
Schlüterstr. 41
Brentanostr. 14/Spinozastr.
Schlangenbader Str. 24 B-E
Laubenheimer Str. 29-39
Stubenrauchstr. 1/Bundesallee
Roennebergstr. 9/Bundesallee
Markobrunner Str. 18 b
Borkumer Str. 53
Misdroyer Str. 40
Misdroyer Str. 49 a
Misdroyer Str. 58/Sassnitzer Str. 1
Sassnitzer Str. 1/Misdroyer Str.
Akazienstr. 12
Belziger Str. 30/Merseburger Str.
Belziger Str. 37
Hubertusstr. 2
Hubertusstr. 10
Hubertusstr. 7/Düppelstr.
Alsenstr. 8/Feuerbachstr.
Westfälische Str. 91/Fehrbelliner Platz
Ruhrstr. 1/Fehrbelliner Platz
Badensche Str. 34
Gerdauer Str. 5/Wilhelmsaue
Laubacher Str. 31
Johannisberger Str. 13
Mecklenburgische Str. 7-8
Barstr. 31
Wielandstr. 6/Kantstr. 134
Schlüterstr. 62/Kantstr. 137, Seniorenheim
Kantstr. 29
Kantstr. 30
Nürnberger Str. 7, Thermen am Europacenter
Nürnberger Str. 65, Hotel Crowne Plaza
Augsburger Str. 27
Marburger Str. 1, HUK-Gebäude
Marburger Str. 8/Augsburger Str., Hotel Steigenberger
Durlacher Str. 15/15 a
Durlacher Str. 17
Wexstr. 25
Wexstr. 26/Bruchsaler Str. 18
Spielhagenstr. 6, gegenüber Rückfront Finanzamt
Thrasoltstr. 13/Wilmersdorfer Str.
Thrasoltstr. 11, Nebenhaus zu 13
Thrasoltstr. 17
Bundesallee 142/Varziner Str.
Varziner Str. 4/Sieglindestr.
Isoldestr. 9
Cosimaplatz 1/Elsastr.
Cosimaplatz 2
Cosimaplatz 3/Sentastr. 4
Sarrazinstr. 22-24/Kundrystr.
Ortrudstr. 3
Ortrudstr. 6, Aufgang I und II
Ortrudstr. 2, von Kundrystr. aus
Kundrystr. 6, für Ortrudstr. 2
Belziger Str. 7
Grunewaldstr. 87
Akazienstr. 11-12, Hinterhofseite
Gleditschstr. 80
Gleditschstr. 74-78/Grunewaldstr. 82
Grunewaldstr. 9/Elßholzstr. 23
Elßholzstr. 30-33, Kammergericht
Landauer Str. 10
Laubacher Str. 37
Durlacher Str. 32-34
Südwestkorso 13/14
Offenbacher Str. 25
Eschenstr. 2
Sentastr. 4/Cosimaplatz
Yorckstr. 47/48
Kulmer Str. 24
Wilhelmstr. 10-11/Rahel-Varnhagen-Promenade
Dessauer Str. 38
Hallesche Str. 24, Clara-Grunewald-Grundschule
Südendstr. 60
Zimmermannstr. 8
Zimmermannstr. 9
Zimmermannstr. 13
Zimmermannstr. 14
Auguststr. 75, Standortverlust durch Dachausbau
Auguststr. 23/24, Clärchens Ballhaus
Auguststr. 65, ev. verlorener Standort
Auguststr. 54 und 57, Hinterhöfe
Große Hamburger Str. 3, St. Hedwig-Krankenhaus
Semperstr. 3
Wielandstr. 2-3 /Nähe Hauptstr.
Wielandstr. 44
Willmanndamm 5
