web_id,adresse_original,adresse_bereinigt,lat,lon,coord_source
1678,"Alt-Tempelhof 53-57, Schule am Berlinickeplatz",Alt-Tempelhof 53,52.46487985,13.37868526023114,osm
1626,Altmarkstraße 26,Altmarkstraße 26,52.4593977,13.3422105,osm
103,Alvenslebenstr. 12-12 a/Kulmer Str.,Alvenslebenstr. 12,52.4955423,13.3639253,osm
107,Alvenslebenstr. 25,Alvenslebenstr. 25,52.4958983,13.3621755,osm
1508,Alvenslebenstr. 26,Alvenslebenstr. 26,52.4959405,13.3618364,osm
1507,Alvenslebenstr. 4,Alvenslebenstr. 4,52.495613,13.3623778,osm
1875,"Am Breiten Luch 19 und 17, Schule am Breiten Luch",Am Breiten Luch 19,52.5617703,13.5134066,osm
677,Am Eichgarten 14,Am Eichgarten 14,52.44626965,13.334755408904286,osm
1527,Am Eichgarten 15/16a/Weverpromenade,Am Eichgarten 15,52.4458885,13.3339986,osm
1622,Am Eichgarten 15a,Am Eichgarten 15a,52.4458083,13.3341573,osm
939,Am Fenn 8,Am Fenn 8,52.4468157,13.3396148,osm
1112,Am Fenn 23-24,Am Fenn 23,52.4466132,13.3398791,osm
400,Am Großen Wannsee 26,Am Großen Wannsee 26,52.4267933,13.16210385,osm
399,Am Großen Wannsee 28-30,Am Großen Wannsee 28,52.4212035,13.1663682,osm
596,"Am Tempelhofer Berg 8, Hofseite Mehringdamm 95-97",Am Tempelhofer Berg 8,52.4880065,13.3868088,osm
1392,Am Tierpark 125/Tierpark,Am Tierpark 125,52.5036353,13.5248264,osm
1391,Am Tierpark 49,Am Tierpark 49,52.5027522,13.52123,osm
594,Amsterdamer Str. 13,Amsterdamer Str. 13,52.5515046,13.3574911,osm
1772,Amsterdamer Str. 7,Amsterdamer Str. 7,52.5503858,13.3558034,osm
1842,"An den Achterhöfen 13, Christoph-Ruden-Grundschule",An den Achterhöfen 13,52.420603,13.4349525,osm
610,An der Dorfkirche 1,An der Dorfkirche 1,52.4130964,13.3671164,osm
1878,"Anton-Saefkow-Platz 5, Sporthalle","Anton-Saefkow-Platz 5 , Sporthalle",52.5298481,13.47419696038688,osm
590,Antwerpener Str. 8/Brüsseler Str. 43,Antwerpener Str. 8,52.5470449,13.3506474,osm
478,Apostel-Paulus-Str. 18/Salzburger Str. 9,Apostel-Paulus-Str. 18,52.4874292,13.3422391,osm
309,Apostel-Paulus-Str. 40,Apostel-Paulus-Str. 40,52.4884692,13.3531101,osm
891,Archivstr. 3 a/Peter-Lenné-Str.,Archivstr. 3 a,52.4621739,13.2926013,osm
1777,"Arnimallee 25, Museum Europäischer Kulturen MEK",Arnimallee 25,52.455519,13.2926911,osm
577,Aschaffenburger Str. 93/Prager Platz 6,Aschaffenburger Str. 93,52.489942,13.3384181,osm
440,Aßmannshauser Str. 12 a,Aßmannshauser Str. 12 a,52.4770649,13.3134313,osm
45,Aßmannshauser Str. 13/Rüdesheimer Str.,Aßmannshauser Str. 13,52.4745808,13.3140778,osm
1908,"Atzpodienstr. 19, Schule auf dem lichten Berg",Atzpodienstr. 19,52.5169271,13.4950339,osm
182,Augsburger Str. 27,Augsburger Str. 27,52.5014106,13.3351711,osm
1486,Augustastr. 2,Augustastr. 2,52.4433048,13.314596830256546,osm
1487,Augustastr. 35,Augustastr. 35,52.44281985000001,13.31343650443943,osm
1512,Auguste-Viktoria Str. 55 / Ecke Berkaer Str. 6,Auguste-Viktoria Str. 55,52.4775792,13.288887021024577,osm
91,Auguste-Viktoria-Str. 62/Kissinger Str.,Auguste-Viktoria-Str. 62,52.4796275,13.2886103,osm
230,"Auguststr. 23/24, Clärchens Ballhaus",Auguststr. 23,52.5268563,13.3965653,osm
232,"Auguststr. 54 und 57, Hinterhöfe",Auguststr. 54,None,None,osm
231,"Auguststr. 65, ev. verlorener Standort","Auguststr. 65 , ev. verlorener Standort",52.5270215,13.3961117,osm
229,"Auguststr. 75, Standortverlust durch Dachausbau","Auguststr. 75 , Standortverlust durch Dachausbau",52.5266031,13.3939073,osm
303,Babelsberger Str. 3/Prinzregentenstr. 78/Berliner Str. 160,Babelsberger Str. 3,52.4871963,13.3349593,osm
292,Babelsberger Str. 46,Babelsberger Str. 46,52.4863823,13.3354475,osm
293,Babelsberger Str. 48,Babelsberger Str. 48,52.4867279,13.3354398,osm
294,Babelsberger Str. 5/6,Babelsberger Str. 5,52.4866888,13.3349688,osm
634,Badensche Str. 8-8b/Kufsteiner Str. 15-19,Badensche Str. 8,52.485509,13.3436103,osm
1170,Badensche Str. 14,Badensche Str. 14,52.4855554,13.3426391,osm
1153,Badensche Str. 24/Landhaus 22/Berliner 150/151,Badensche Str. 24,52.4863758,13.3292042,osm
340,Badensche Str. 29,Badensche Str. 29,52.4862205,13.3275641,osm
170,Badensche Str. 34,Badensche Str. 34,52.4860216,13.3295236,osm
1168,,,52.4838539,13.3407552,osm
1169,Badensche Str. 9,Badensche Str. 9,52.4859294,13.3372354,osm
8,Bahnhofstr. 45 A,Bahnhofstr. 45 A,52.4520828,13.5733632,osm
1337,Bahnhofstr. 1 a - c,Bahnhofstr. 1 a - c,52.4311115,13.3227664,osm
1233,Bahnstr. 6a-b,Bahnstr. 6a,52.4230729,13.37463,osm
320,Bänschstr. 37,Bänschstr. 37,52.518662,13.4638148,osm
1474,Barbarastr. 14,Barbarastr. 14,52.4330547,13.3417229,osm
1475,Barbarastr. 18,Barbarastr. 18,52.4328617,13.3413817,osm
1473,Barbarastr. 2/4/6,Barbarastr. 2,52.4337035,13.3428504,osm
1476,Barbarastr. 26,Barbarastr. 26,52.4324425,13.3413802,osm
1664,"Barbarastr. 9, Beethoven-Gymnasium","Barbarastr. 9 , Beethoven-Gymnasium",52.43289785,13.342758442428266,osm
460,Barbarossaplatz 5,Barbarossaplatz 5,52.4926387,13.34967328169246,osm
461,Barbarossastr. 59/Barbarossaplatz 4,Barbarossastr. 59,52.4919562,13.3499753,osm
919,Barstr. 23/Wallenbergstr. 7,Barstr. 23,52.4829546,13.3133679,osm
918,Barstr. 24,Barstr. 24,52.482721,13.3133446,osm
175,Barstr. 31,Barstr. 31,52.481163,13.3132388,osm
980,Barstr. 42,Barstr. 42,52.4846455,13.3142524,osm
926,"Barstr. 23-25/Wallenbergstr. 7, 9/Kahlstr.",Barstr. 23,52.4853797,13.313745,osm
1907,"Barther Str. 27, Schule im Ostseekarree",Barther Str. 27,52.5643159,13.499924,osm
1257,Bautzener Str. 10,Bautzener Str. 10,52.4902737,13.3705669,osm
1258,Bautzener Str. 11,Bautzener Str. 11,52.4900854,13.3705457,osm
1259,Bautzener Str. 14,Bautzener Str. 14,52.4890462,13.370482,osm
1260,Bautzener Str. 16/17,Bautzener Str. 16,52.4888072,13.3704654,osm
376,Bautzener Str. 19,Bautzener Str. 19,52.4883365,13.3704305,osm
972,Bayerische Str. 25/Düsseldorfer Str.,Bayerische Str. 25,52.4963704,13.3137426,osm
642,Bayerischer Platz 4,Bayerischer Platz 4,52.4891666,13.3389002,osm
643,Bayerischer Platz 5,Bayerischer Platz 5,52.4889528,13.3389553,osm
559,"Bayernallee 49/50, Seniorenheim",Bayernallee 49,52.5100852,13.267439,osm
1202,Beckerstr. 15,Beckerstr. 15,52.4667034,13.3389334,osm
1537,Beethovenstr. 35,Beethovenstr. 35,52.43828625,13.33174190166283,osm
1538,Beethovenstr. 35,Beethovenstr. 35,52.43828625,13.33174190166283,osm
848,Behmstr. 65,Behmstr. 65,52.5513192,13.4010478,osm
849,Behmstr. 71/73,Behmstr. 71,52.5514135,13.4020778,osm
851,Behmstr. 73,Behmstr. 73,52.5514464,13.4024377,osm
852,Behmstr. 77,Behmstr. 77,52.5514881,13.403141,osm
1558,Bellermannstr. 8-9,Bellermannstr. 8,52.5550539,13.3838644,osm
96,"Belziger Str. 13/15, Hofseite",Belziger Str. 13,52.4876151,13.3554883,osm
162,Belziger Str. 30/Merseburger Str.,Belziger Str. 30,52.4870253,13.3528166,osm
163,Belziger Str. 37,Belziger Str. 37,52.486439,13.3521345,osm
1428,Belziger Str. 52-58 / Senatsfuhrpark,Belziger Str. 52,52.4863642,13.3485985341047,osm
205,Belziger Str. 7,Belziger Str. 7,52.4879655,13.3567272,osm
940,Benzmannstr. 12,Benzmannstr. 12,52.4483442,13.3457336,osm
1098,Benzmannstr. 13,Benzmannstr. 13,52.4484529,13.3462535,osm
941,Benzmannstr. 15,Benzmannstr. 15,52.4483566,13.3464427,osm
