web_id,reason,script,timestamp,strasse,strasse_original,plz,ort,erstbeobachtung,beschreibung,besonderes
1168,MANUAL,,,,,10825,Berlin,unbekannt,,
2261,MANUAL,,,,,14195,Berlin,unbekannt,,
